,antecedent,consequent,support,confidence,lift
160,frozenset({'USO_Up'}),"frozenset({'GLD_Up', 'SLV_Up'})",0.3735255570117955,0.976027397260274,2.6130136986301373
161,frozenset({'GLD_Up'}),"frozenset({'USO_Up', 'SLV_Up'})",0.3735255570117955,1.2610619469026547,3.3761061946902653
162,frozenset({'SLV_Up'}),"frozenset({'USO_Up', 'GLD_Up'})",0.3735255570117955,1.0,3.3761061946902653
163,"frozenset({'USO_Up', 'GLD_Up'})",frozenset({'SLV_Up'}),0.3735255570117955,1.2610619469026547,3.3761061946902653
164,"frozenset({'USO_Up', 'SLV_Up'})",frozenset({'GLD_Up'}),0.3735255570117955,1.0,3.3761061946902653
165,"frozenset({'GLD_Up', 'SLV_Up'})",frozenset({'USO_Up'}),0.3735255570117955,1.0,2.6130136986301373
166,frozenset({'USO_Up'}),frozenset({'SLV_Up'}),0.3735255570117955,0.976027397260274,2.6130136986301373
167,frozenset({'SLV_Up'}),frozenset({'USO_Up'}),0.3735255570117955,1.0,2.6130136986301373
168,frozenset({'USO_Down'}),frozenset({'GLD_Same'}),0.3831367409349061,1.0,2.330957230142566
169,frozenset({'GLD_Same'}),frozenset({'USO_Down'}),0.3831367409349061,0.8930753564154786,2.330957230142566
170,frozenset({'USO_Down'}),"frozenset({'SLV_Down', 'GLD_Same'})",0.3420707732634338,0.8928164196123147,2.6100342075256555
171,frozenset({'SLV_Down'}),"frozenset({'USO_Down', 'GLD_Same'})",0.3420707732634338,1.0,2.6100342075256555
172,frozenset({'GLD_Same'}),"frozenset({'USO_Down', 'SLV_Down'})",0.3420707732634338,0.7973523421588595,2.3309572301425665
173,"frozenset({'USO_Down', 'SLV_Down'})",frozenset({'GLD_Same'}),0.3420707732634338,1.0,2.330957230142566
174,"frozenset({'USO_Down', 'GLD_Same'})",frozenset({'SLV_Down'}),0.3420707732634338,0.8928164196123147,2.6100342075256555
175,"frozenset({'SLV_Down', 'GLD_Same'})",frozenset({'USO_Down'}),0.3420707732634338,1.0,2.6100342075256555
176,frozenset({'USO_Down'}),"frozenset({'GLD_Same', 'SLV_Down', 'SPX_Same'})",0.48623853211009177,1.2690992018244014,2.6100342075256555
177,frozenset({'SLV_Down'}),"frozenset({'USO_Down', 'GLD_Same', 'SPX_Same'})",0.48623853211009177,1.421455938697318,2.9233716475095783
178,frozenset({'SPX_Same'}),"frozenset({'USO_Down', 'SLV_Down', 'GLD_Same'})",0.48623853211009177,1.0,2.9233716475095783
179,frozenset({'GLD_Same'}),"frozenset({'USO_Down', 'SLV_Down', 'SPX_Same'})",0.48623853211009177,1.1334012219959266,2.330957230142566
180,"frozenset({'USO_Down', 'SLV_Down'})","frozenset({'GLD_Same', 'SPX_Same'})",0.48623853211009177,1.421455938697318,2.9233716475095783
181,"frozenset({'USO_Down', 'SPX_Same'})","frozenset({'SLV_Down', 'GLD_Same'})",0.48623853211009177,1.0,2.9233716475095783
182,"frozenset({'USO_Down', 'GLD_Same'})","frozenset({'SLV_Down', 'SPX_Same'})",0.48623853211009177,1.2690992018244014,2.6100342075256555
183,"frozenset({'SLV_Down', 'SPX_Same'})","frozenset({'USO_Down', 'GLD_Same'})",0.48623853211009177,1.0,2.6100342075256555
184,"frozenset({'SLV_Down', 'GLD_Same'})","frozenset({'USO_Down', 'SPX_Same'})",0.48623853211009177,1.421455938697318,2.9233716475095783
185,"frozenset({'GLD_Same', 'SPX_Same'})","frozenset({'USO_Down', 'SLV_Down'})",0.48623853211009177,1.0,2.9233716475095783
186,"frozenset({'USO_Down', 'SLV_Down', 'SPX_Same'})",frozenset({'GLD_Same'}),0.48623853211009177,1.0,2.330957230142566
187,"frozenset({'USO_Down', 'SLV_Down', 'GLD_Same'})",frozenset({'SPX_Same'}),0.48623853211009177,1.421455938697318,2.9233716475095783
188,"frozenset({'USO_Down', 'GLD_Same', 'SPX_Same'})",frozenset({'SLV_Down'}),0.48623853211009177,1.0,2.9233716475095783
189,"frozenset({'GLD_Same', 'SLV_Down', 'SPX_Same'})",frozenset({'USO_Down'}),0.48623853211009177,1.0,2.6100342075256555
190,frozenset({'USO_Down'}),"frozenset({'GLD_Same', 'SPX_Same'})",0.48623853211009177,1.2690992018244014,2.6100342075256555
191,frozenset({'SPX_Same'}),"frozenset({'USO_Down', 'GLD_Same'})",0.48623853211009177,1.0,2.6100342075256555
192,frozenset({'GLD_Same'}),"frozenset({'USO_Down', 'SPX_Same'})",0.48623853211009177,1.1334012219959266,2.330957230142566
193,"frozenset({'USO_Down', 'SPX_Same'})",frozenset({'GLD_Same'}),0.48623853211009177,1.0,2.330957230142566
194,"frozenset({'USO_Down', 'GLD_Same'})",frozenset({'SPX_Same'}),0.48623853211009177,1.2690992018244014,2.6100342075256555
195,"frozenset({'GLD_Same', 'SPX_Same'})",frozenset({'USO_Down'}),0.48623853211009177,1.0,2.6100342075256555
196,frozenset({'SLV_Down'}),frozenset({'GLD_Same'}),0.3420707732634338,1.0,2.330957230142566
197,frozenset({'GLD_Same'}),frozenset({'SLV_Down'}),0.3420707732634338,0.7973523421588595,2.3309572301425665
198,frozenset({'SLV_Down'}),"frozenset({'GLD_Same', 'SPX_Same'})",0.48623853211009177,1.421455938697318,2.9233716475095783
199,frozenset({'SPX_Same'}),"frozenset({'SLV_Down', 'GLD_Same'})",0.48623853211009177,1.0,2.9233716475095783
200,frozenset({'GLD_Same'}),"frozenset({'SLV_Down', 'SPX_Same'})",0.48623853211009177,1.1334012219959266,2.330957230142566
201,"frozenset({'SLV_Down', 'SPX_Same'})",frozenset({'GLD_Same'}),0.48623853211009177,1.0,2.330957230142566
202,"frozenset({'SLV_Down', 'GLD_Same'})",frozenset({'SPX_Same'}),0.48623853211009177,1.421455938697318,2.9233716475095783
203,"frozenset({'GLD_Same', 'SPX_Same'})",frozenset({'SLV_Down'}),0.48623853211009177,1.0,2.9233716475095783
204,frozenset({'SPX_Same'}),frozenset({'GLD_Same'}),0.48623853211009177,1.0,2.330957230142566
205,frozenset({'GLD_Same'}),frozenset({'SPX_Same'}),0.48623853211009177,1.1334012219959266,2.330957230142566
